cluster	rep26_1_pli0070_pLI100__AL592102	rep26_2_repA_pLGUG1__FR667693	rep26_3_M643p00680_N1011Aplasmid__CP006611	rep26_4_repA_pLM5578__CP001603
cluster_1	rep25_1_pLM330006_pLM33__GU244485	rep25_2_M640p00130_J1776plasmid__CP006612
cluster_10	rep13_6_rep_pLNU1__AM184099
cluster_100	repUS4_1_repA_pCI2000__AF178424
cluster_101	repUS7_1_rep_pHTbeta__AB183714	repUS7_2_rep_pMG1__AB206333
cluster_102	rep32_1_pli0023_pLI100__AL592102
cluster_103	rep31_2_LKI10596_LkipL4719__CP001755
cluster_104	repUS40_1_repB_pE394__KP399637
cluster_105	repUS42_1_repB_pVF18__JN172910
cluster_106	rep31_1_LCKp400005_pLCK4__DQ489739
cluster_107	repUS48_1_SAP110B007_SAP110B__GQ900466
cluster_108	repUS44_1_ORF7_SP187__AM040731
cluster_109	rep38_1_rep_pLBUC03__CP002655
cluster_11	rep13_9_rep_pSepCH__AY092027
cluster_110	repUS73_1_rep_pLBUC02__CP002654
cluster_111	repUS74_1_LSEIA15_ATCC334p1__CP000424
cluster_112	repUS24_1_rep_pZB18__AB611033
cluster_113	repUS75_1_repA_8700p2__CP002393
cluster_114	rep21_17_rep_pLNU8__AM399080	rep21_18_rep_pLNU3__AM184101	rep21_19_rep_pLNU7__AM399081	rep21_25_rep_pSHaeA__AP006717	rep21_26_rep_pLUH01__FR714928	rep21_26_rep_pSK108__GQ900464	rep21_27_rep_pLNU4__AM184102	rep21_28_rep_pUR5425__JQ861958	rep21_2_rep_pNVH01__AJ512814	rep21_3_rep_pS0385__AM990995	rep21_5_repRC_pGO1__FM207042	rep21_6_rep_pBMSa1__AY541446
cluster_115	repUS71_1_repA_pQY182__AP013037
cluster_116	rep17_1_CDS29_pRUM__AF507977	rep17_2_repA_AUS0004p1__CP003352	rep17_3_repA_Aus0085p2__CP006622
cluster_117	repUS15_1_repA_DO3__CP003586	repUS15_2_repA_pNB2354p1__CP004064
cluster_118	repUS72_1_C27008541_pKLC4__CP003855
cluster_119	IncX6_1_KU302800
cluster_12	rep13_12_rep49_pSW174__AM040729
cluster_120	rep14a_4_rep_AUS0004p3__CP003354
cluster_121	rep23_1_rep_pPR9__GU237136	rep23_2_rep_pV030__EU366902
cluster_122	rep8a_1_EP002_pAM373__NC002630
cluster_123	repUS5_1_CDS20_pETB__NC003265	repUS5_2_BJL6515670_pAVX__CP017805
cluster_124	repUS39_1_ORF14_pSCFS1__AJ579365
cluster_125	rep9b_1_prgW_pBEE99__GU046453	rep9b_2_prgW_EF62pC__CP002494	rep9b_3_repA_pMG2200__AB374546	rep9b_4_repA2_pTEF2__AE016831
cluster_126	rep9a_1_repA_pAD1__L01794
cluster_127	rep9c_1_repA_pTW9__AB563188	rep9c_2_prgW_pCF10__AY855841	rep9c_3_repA_pPD1__D78016	rep9c_4_prgW_EF62pB__CP002493
cluster_128	rep21_16_rep_pLNU2__AM184100
cluster_129	rep22_1b_repB_pAMalpha1__AF503772	repUS12_1_rep_pUB110__AF181950	repUS12_2_repB_SAP014A__GQ900379
cluster_13	repUS1_1_repE_DOp2__CP003585	repUS1_2_rep_pVEF3__AM931300	repUS1_3_rep_pVEF1__AM296544
cluster_130	repUS62_1_repA_pDN571__AY648561
cluster_131	rep21_1_rep_pWBG754__GQ900396
cluster_132	rep21_11_rep_pSA1308__AB254848	rep21_12_rep_pKH3__AF151117	rep21_13_p020_pLGA251__FR821780	rep21_20_p020_pLGA251__FR821780	rep21_22_CDS1_pUSA01__NC007790	rep21_23_CDS1_p18811P01__CP002144	rep21_24_rep_CN1_plasmid2__NC_022227	rep21_7_rep_pWBG760__GQ900473	rep21_8_rep_SAP071A__GQ900485	rep21_9_rep_pKH12__EU168704
cluster_133	rep24c_1_rep_pSSAP1__FR687301
cluster_134	rep3_2_rep165_pBMB165__DQ242517	rep3_3_rep_pBT9727__CP000047
cluster_135	rep20_14_repA_pSSAP2__HE616681	rep20_15_repA_pSK67M1__HF937104	rep20_3_rep_pTW20__FN433597	rep20_4_repA_SAP102A__GQ900496	rep20_6_repA_SAP059A__GQ900480	rep20_7_repA_SAP074A__GQ900426	rep20_8_repA_SAP063A__GQ900418	rep20_9_repA_SAP055A__GQ900414
cluster_136	rep11b_1_repA_pEF1071__AF164559
cluster_137	rep14b_4_EMQU3221_pQY003__AP013041
cluster_138	rep19_10_rep_pWBG746__GQ900390	rep19_11_rep_pPM1__AB699881	rep19_12_rep_pN315__AP003139	rep19_13_rep_pBORa53__AY917098	rep19_14_rep_pST75__FR821778	rep19_15_repA_TCH60plasmid__CP002111	rep19_16_rep_pSK156__GQ900448	rep19_2_rep_pSA1379__NC007931	rep19_3_CDS20_pSJH901__CP000704	rep19_4_rep_p18808P03__CP002137	rep19_5_rep_pWBG747__GQ900399	rep19_6_ORF34_EDINA__AP003089	rep19_7_repA_SAP019A__GQ900385	rep19_8_repA_pWBG759__GQ900401	rep19_9_repA_AP071A__GQ900485
cluster_139	rep24b_1_rep_pWBG749__GQ900391
cluster_14	repUS9_1_rep_pSK1__AF203376
