ant(2'')-Ia.14_DQ266447	1	0	.	.	Original name: ant(2'')-Ia_14_DQ266447
ant(2'')-Ia.15_EF205594	1	0	.	.	Original name: ant(2'')-Ia_15_EF205594
ant(2'')-Ia.16_HQ386848	1	0	.	.	Original name: ant(2'')-Ia_16_HQ386848
ant(2'')-Ia.17_JTTZ01000034	1	0	.	.	Original name: ant(2'')-Ia_17_JTTZ01000034
ant(2'')-Ia.19_GQ466184	1	0	.	.	Original name: ant(2'')-Ia_19_GQ466184
ant(2'')-Ia.20_AY139599	1	0	.	.	Original name: ant(2'')-Ia_20_AY139599
ant(2'')-Ia.1_X04555	1	0	.	.	Original name: ant(2'')-Ia_1_X04555
aph(3')-VI.1_KC170992	1	0	.	.	Original name: aph(3')-VI_1_KC170992
aph(3')-XV.2_GQ626879	1	0	.	.	Original name: aph(3')-XV_2_GQ626879
aph(3')-XV.3_EU165039	1	0	.	.	Original name: aph(3')-XV_3_EU165039
aph(3')-IIIa.1_AF330699	1	0	.	.	Original name: aph(3')-IIIa_1_AF330699
aph(3')-IIIa.2_AJ490186	1	0	.	.	Original name: aph(3')-IIIa_2_AJ490186
aph(3')-IIIa.3_AB247327	1	0	.	.	Original name: aph(3')-IIIa_3_AB247327
aph(3')-Va.2_AB211959	1	0	.	.	Original name: aph(3')-Va_2_AB211959
aph(3')-Vb.2_AJ744850	1	0	.	.	Original name: aph(3')-Vb_2_AJ744850
aph(3')-IIa.2_V00618	1	0	.	.	Original name: aph(3')-IIa_2_V00618
aph(3')-IIb.2_CP006832	1	0	.	.	Original name: aph(3')-IIb_2_CP006832
aph(3')-Ia.2_EU287476	1	0	.	.	Original name: aph(3')-Ia_2_EU287476
aph(3')-Ia.3_EF015636	1	0	.	.	Original name: aph(3')-Ia_3_EF015636
aph(3')-Ia.4_AF498082	1	0	.	.	Original name: aph(3')-Ia_4_AF498082
aph(3')-Ia.5_AP004237	1	0	.	.	Original name: aph(3')-Ia_5_AP004237
aph(3')-Ia.6_L05392	1	0	.	.	Original name: aph(3')-Ia_6_L05392
aph(3')-Ia.7_X62115	1	0	.	.	Original name: aph(3')-Ia_7_X62115
aph(3')-Ia.8_Y00452	1	0	.	.	Original name: aph(3')-Ia_8_Y00452
aph(3')-Ia.9_EU722351	1	0	.	.	Original name: aph(3')-Ia_9_EU722351
aph(3')-Ia.10_EU855787	1	0	.	.	Original name: aph(3')-Ia_10_EU855787
